title,publication_url,pdf_link
"Aymerich-Franch, L., Gómez, E.,Public perception of socially assistive robots for healthcare in the EU: A large-scale survey",https://www.sciencedirect.com/science/article/pii/S2451958824000988?via%3Dihub#bib1,N/A
"Gómez, E., Porcaro, L., Frau Amar, P., Vinagre, J.,Diversity in Artificial Intelligence Conferences",https://publications.jrc.ec.europa.eu/repository/handle/JRC137550,N/A
"Garcés, D., Santos, M., Fernández Llorca, D.,Exploring Large Language Models for Automated Review Notes Distribution in Animation Production",https://www.worldscientific.com/doi/epdf/10.1142/9789811294631_0020,N/A
"Hamon, R., Sánchez, I., Fernández Llorca, D., Gómez, E.,Generative AI Transparency: Identification of Machine-Generated content",https://publications.jrc.ec.europa.eu/repository/handle/JRC137136,N/A
"Sala, A., Porcaro, L., Gómez, E.,Social Media Use and adolescents' mental health and well-being: An umbrella review",https://www.sciencedirect.com/science/article/pii/S245195882400037X,N/A
"Hupont, I., Fernández Llorca, D., Baldassarri, S., Gómez, E.,Use case cards: a use case reporting framework inspired by the European AI Act",https://link.springer.com/article/10.1007/s10676-024-09757-7?utm_source=rct_congratemailt&utm_medium=email&utm_campaign=oa_20240320&utm_content=10.1007/s10676-024-09757-7,N/A
"van Drunen, M.Z., Noroozian, A.,How to design data access for researchers: A legal and software development perspective",https://www.sciencedirect.com/science/article/pii/S026736492400013X,N/A
"Golightly, D., Altobelli, E., Bassi, N., Buchníček, P., Consonni, C., Juránková, P., Mitropoulos, L., Rizzi, G., Rossi, M., Scrocca, M., Rutanen, E., Kortsari, A., Niavis, H.,Ride2Rail: integrating ridesharing to increase the attractiveness of rail travel",https://link.springer.com/article/10.1186/s12544-023-00627-9,N/A
"Martín Serrano, S., Izquierdo, R., García Daza, I., Sotelo, M. A., Fernández Llorca, D.,Digital twin in virtual reality for human-vehicle interactions in the context of autonomous driving",https://ieeexplore.ieee.org/document/10421914,N/A
"Izquierdo, R., Martín, S., Alonso, J, Parra, I., Sotelo, M. A., Fernández Llorca, D.,Human-Vehicle Interaction for Autonomous Vehicles in Crosswalk Scenarios: Field Experiments with Pedestrians and Passengers",https://ieeexplore.ieee.org/document/10422195,N/A
"Garcés, D., Santos, M., Fernández Llorca, D.Language Models for Automatic Distribution of Review Notes in Movie Production",https://link.springer.com/chapter/10.1007/978-3-031-48232-8_23,N/A
"Gómez-González, E. and Gomez, E.,Artificial intelligence for healthcare and well-being during exceptional times",https://publications.jrc.ec.europa.eu/repository/handle/JRC134715,N/A
"Carrasco Limeros, S., Majchrowska, S., Johnander, J., Petersson, C., Fernández Llorca, D.Towards explainable motion prediction using heterogeneous graph representations",https://www.sciencedirect.com/science/article/pii/S0968090X23003959,N/A
"Porcaro, L., Vinagre, J., Frau, P., Hupont, I., Gómez, E.Behind Recommender Systems: the Geography of the ACM RecSys Community",https://arxiv.org/pdf/2309.03512.pdf,https://arxiv.org/pdf/2309.03512.pdf
"Garcés, D., Santos, M., Fernández Llorca, D.Text Classification for Automatic Distribution of Review Notes in Movie Production",https://link.springer.com/chapter/10.1007/978-3-031-42529-5_1,N/A
"Martin S., Fernandez Llorca, D., García, I., Sotelo, M. A.Realistic Pedestrian Behaviour in the CARLA Simulator Using VR and Mocap",https://link.springer.com/chapter/10.1007/978-3-031-41962-1_5,N/A
"Porcaro, L., Castillo, C., Gómez, E.,Assessing the Impact of Music Recommendation Diversity on Listeners: A Longitudinal Study",https://dl.acm.org/doi/10.1145/3608487,N/A
"Porcaro, L., Castillo, C., Gómez, E., Vinagre, J.Fairness and Diversity in Information Access Systems",https://arxiv.org/abs/2305.09319,https://arxiv.org/pdf/2305.09319.pdf
"Panigutti, C., Hamon, R., Hupont, I., Fernandez Llorca, D., Fano Yela, D., Junklewitz, H., Scalzo, S., Mazzini, G., Sanchez, I., Soler Garrido, J., Gomez, E.,The role of explainable AI in the context of the AI Act",https://dl.acm.org/doi/10.1145/3593013.3594069,N/A
"Behjati, P., Rodriguez, P., Fernández, C., Hupont, I., Mehri, A., Gonzàlez, J.,Single image super-resolution based on directional variance attention network",https://www.sciencedirect.com/science/article/pii/S0031320322004770,N/A
